freq,mag,delta_t
1,"1,40E-03",
10,"1,40E-03",
100,"1,40E-03",
1000,"3,60E-03",
10000,"7,20E-03","4,80E-05"
20000,"2,74E-02","2,40E-05"
30000,"9,20E-02","1,50E-05"
40000,"2,70E-01","1,14E-05"
50000,"1,34","7,80E-06"
55000,"4,48","5,20E-06"
56000,"6,2","4,60E-06"
57000,"7,8","3,40E-06"
58000,"9,6","2,20E-06"
59000,11,"1,00E-06"
60000,"11,2","6,00E-07"
61000,"10,6","-1,60E-06"
62000,9,"-3,20E-06"
63000,"7,2","-4,00E-06"
64000,"5,5","-4,40E-06"
65000,"4,2","-4,80E-06"
70000,2,"-5,80E-06"
80000,"0,52","-6,00E-06"
90000,"0,3","-5,20E-06"
100000,"0,162","-5,00E-06"
200000,"0,0216","-2,60E-06"
300000,"0,01","-1,70E-06"
400000,"0,01","-1,36E-06"
500000,"0,0048","-1,08E-06"
600000,"0,0042","-9,20E-07"
700000,"0,0034","-8,00E-07"
800000,"0,0034","-7,20E-07"
900000,"0,0028","-6,20E-07"
1000000,"0,0028","-6,20E-07"